"","category","sellable_online","other_colors","depth","height","width","price","newprice"
"235","Bookcases & shelving units","TRUE","No",35,161,90,695,0
"236","Wardrobes","TRUE","No",60,236,250,6585,1
"237","Sofas & armchairs","TRUE","Yes",46,83,80,700,0
"238","Cabinets & cupboards","TRUE","Yes",45,200,160,3240,1
"239","Sofas & armchairs","TRUE","Yes",98,62,24,350,0
"240","Cabinets & cupboards","TRUE","Yes",40,192,120,1870,1
"241","Chests of drawers & drawer units","TRUE","No",46,24,31,49,0
"242","Beds","TRUE","Yes",46,83,156,495,0
"243","Chairs","TRUE","No",45,91,40,345,0
"244","Beds","TRUE","No",46,83,140,450,0
"245","TV & media furniture","TRUE","Yes",42,74,180,1390,1
"246","Tables & desks","TRUE","No",46,75,80,695,0
"247","Wardrobes","TRUE","No",36,83,51,437,0
"248","Tables & desks","TRUE","No",46,47,80,275,0
"249","Sofas & armchairs","TRUE","Yes",99,83,192,2370,1
"250","Sofas & armchairs","TRUE","No",90,86,171,2395,1
"251","Sofas & armchairs","TRUE","Yes",46,83,80,375,0
"252","Wardrobes","TRUE","No",35,236,100,995,0
"253","Bookcases & shelving units","TRUE","No",18,83,80,29,0
"254","Wardrobes","TRUE","Yes",66,236,200,1590,1
"255","TV & media furniture","TRUE","Yes",41,95,276,1265,1
"256","Cabinets & cupboards","TRUE","Yes",46,38,60,75,0
"257","Bookcases & shelving units","TRUE","Yes",25,70,70,220,0
"258","Sofas & armchairs","TRUE","Yes",46,83,80,460,0
"259","Bookcases & shelving units","TRUE","No",51,173,148,990,0
"260","Chairs","TRUE","No",46,74,87,2615,1
"261","Chairs","TRUE","No",46,74,87,2725,1
"262","Outdoor furniture","TRUE","No",92,75,2,125,0
"263","Tables & desks","TRUE","Yes",45,61,41,844,0
"264","Cabinets & cupboards","TRUE","Yes",35,83,80,39,0
"265","Outdoor furniture","TRUE","Yes",46,83,80,841,0
"266","Tables & desks","TRUE","No",46,3,37,45,0
"267","Nursery furniture","TRUE","No",21,30,99,155,0
"268","Tables & desks","TRUE","No",46,83,75,715,0
"269","Cabinets & cupboards","TRUE","No",40,63,119,425,0
"270","Tables & desks","TRUE","No",46,74,100,6965,1
"271","Beds","TRUE","Yes",59,83,156,945,0
"272","Sofas & armchairs","TRUE","Yes",46,83,80,125,0
"273","Cabinets & cupboards","TRUE","Yes",35,35,35,139,0
"274","Chairs","TRUE","No",50,87,52,195,0
"275","Chairs","TRUE","No",46,83,95,2875,1
"276","Cabinets & cupboards","TRUE","Yes",46,64,60,150,0
"277","Tables & desks","TRUE","No",46,74,80,1195,1
"278","Bookcases & shelving units","TRUE","Yes",54,83,84,95,0
"279","Chairs","TRUE","Yes",68,83,68,795,0
"280","Tables & desks","TRUE","No",46,83,80,1195,1
"281","Nursery furniture","TRUE","No",46,53,66,395,0
"282","Sofas & armchairs","TRUE","Yes",98,104,235,4185,1
"283","Nursery furniture","TRUE","No",21,30,80,195,0
"284","Sofas & armchairs","TRUE","Yes",46,83,80,1340,1
"285","Nursery furniture","TRUE","No",46,83,48,30,0
"286","Sofas & armchairs","TRUE","Yes",46,83,80,345,0
"287","Nursery furniture","TRUE","No",46,23,30,15,0
"288","Bar furniture","TRUE","No",45,102,40,395,0
"289","Beds","TRUE","Yes",98,83,349,7765,1
"290","Sofas & armchairs","TRUE","No",55,21,92,100,0
"291","Bookcases & shelving units","TRUE","No",36,181,197,772,0
"292","Outdoor furniture","TRUE","No",62,83,62,75,0
"293","Nursery furniture","TRUE","No",46,83,80,20,0
"294","Children's furniture","TRUE","No",29,55,28,125,0
"295","Tables & desks","TRUE","Yes",46,74,75,235,0
"296","Chairs","TRUE","No",83,106,92,1495,1
"297","Beds","TRUE","Yes",46,83,154,1375,1
"298","Nursery furniture","TRUE","No",46,36,30,25,0
"299","Chairs","TRUE","No",50,90,48,745,0
"300","TV & media furniture","TRUE","Yes",46,83,80,22,0
"301","Sofas & armchairs","TRUE","Yes",98,102,275,6440,1
"302","Chairs","TRUE","No",52,114,43,345,0
"303","TV & media furniture","TRUE","Yes",40,202,60,420,0
"304","Chairs","TRUE","No",37,83,37,19,0
"305","Wardrobes","TRUE","No",60,236,300,5240,1
"306","Nursery furniture","TRUE","No",46,83,48,95,0
"307","Outdoor furniture","TRUE","No",82,74,82,709,0
"308","Chairs","TRUE","No",46,74,100,6965,1
"309","Beds","TRUE","Yes",98,104,231,4270,1
"310","Bookcases & shelving units","TRUE","No",30,83,83,245,0
"311","Tables & desks","TRUE","Yes",46,74,60,330,0
"312","Chairs","TRUE","No",46,83,80,70,0
"313","Wardrobes","TRUE","No",35,83,91,650,0
"314","Bookcases & shelving units","TRUE","No",54,83,84,95,0
"315","Bookcases & shelving units","TRUE","No",51,160,182,375,0
"316","Tables & desks","TRUE","No",46,72,75,359,0
"317","Tables & desks","TRUE","No",70,74,140,945,0
"318","TV & media furniture","TRUE","No",42,45,160,476,0
"319","TV & media furniture","TRUE","Yes",42,230,240,2470,1
"320","Children's furniture","TRUE","No",36,67,39,59,0
"321","Bar furniture","TRUE","No",36,84,38,595,0
"322","Tables & desks","TRUE","No",46,73,60,1315,1
"323","Bar furniture","TRUE","Yes",36,83,36,140,0
"324","Chairs","TRUE","No",68,83,68,225,0
"325","Cabinets & cupboards","TRUE","Yes",24,83,21,27,0
"326","Cabinets & cupboards","TRUE","No",48,92,145,2100,1
"327","Sofas & armchairs","TRUE","Yes",98,102,275,5810,1
"328","Chairs","TRUE","No",46,74,100,4145,1
"329","Bookcases & shelving units","TRUE","No",27,74,180,141,0
"330","TV & media furniture","TRUE","Yes",24,83,21,27,0
"331","Nursery furniture","TRUE","No",46,83,83,25,0
"332","Tables & desks","TRUE","No",46,83,80,3775,1
"333","Wardrobes","TRUE","No",51,178,60,395,0
"334","TV & media furniture","TRUE","Yes",46,83,80,45,0
"335","Outdoor furniture","TRUE","No",42,52,136,316,0
"336","Chests of drawers & drawer units","TRUE","No",47,45,40,240,0
"337","Cabinets & cupboards","TRUE","Yes",35,70,95,495,0
"338","Bookcases & shelving units","TRUE","No",41,199,132,429,0
"339","Cabinets & cupboards","TRUE","Yes",41,95,78,445,0
"340","Bookcases & shelving units","TRUE","No",12,35,33,30,0
"341","Wardrobes","TRUE","No",44,236,150,1940,1
"342","Bookcases & shelving units","TRUE","No",55,19,69,49,0
"343","Bookcases & shelving units","TRUE","No",37,214,96,995,0
"344","Children's furniture","TRUE","No",46,10,30,10,0
"345","Bar furniture","TRUE","No",51,114,43,345,0
"346","Sofas & armchairs","TRUE","Yes",46,83,80,1670,1
"347","Wardrobes","TRUE","Yes",60,236,150,3110,1
"348","Chairs","TRUE","No",46,74,80,3225,1
"349","Chairs","TRUE","Yes",69,83,69,310,0
"350","Beds","TRUE","Yes",46,182,80,2025,1
"351","Sofas & armchairs","TRUE","Yes",46,83,80,200,0
"352","Children's furniture","TRUE","No",62,75,59,345,0
"353","Tables & desks","TRUE","Yes",46,83,60,495,0
"354","Wardrobes","TRUE","No",66,236,200,3885,1
"355","Chairs","TRUE","No",73,82,79,675,0
"356","Wardrobes","TRUE","No",66,236,200,3905,1
"357","Tables & desks","TRUE","Yes",46,74,60,119,0
"358","Chairs","TRUE","Yes",69,83,74,245,0
"359","Bookcases & shelving units","TRUE","Yes",39,77,77,215,0
"360","Tables & desks","TRUE","No",46,74,78,1875,1
"361","Outdoor furniture","TRUE","No",46,25,62,75,0
"362","Outdoor furniture","TRUE","No",46,83,35,29,0
"363","TV & media furniture","TRUE","No",46,83,80,35,0
"364","Chairs","TRUE","No",67,83,67,155,0
"365","Children's furniture","TRUE","No",46,83,28,5,0
"366","Chairs","TRUE","No",44,45,44,84,0
